id,label
1,4
2,4
3,3
4,4
5,4
6,3
7,6
8,5
9,4
10,5
11,4
12,6
13,2
14,0
15,3
16,4
17,0
18,5
19,3
20,2
21,6
22,2
23,6
24,4
25,0
26,5
27,5
28,3
29,6
30,4
31,0
32,4
33,6
34,6
35,3
36,6
37,6
38,2
39,4
40,3
41,4
42,6
43,4
44,5
45,3
46,6
47,0
48,3
49,5
50,2
51,2
52,6
53,6
54,0
55,6
56,1
57,6
58,0
59,3
60,2
61,3
62,3
63,6
64,6
65,0
66,6
67,5
68,4
69,0
70,0
71,5
72,4
73,0
74,4
75,2
76,4
77,2
78,2
79,0
80,0
81,3
82,3
83,0
84,6
85,3
86,6
87,4
88,5
89,6
90,0
91,4
92,3
93,0
94,4
95,3
96,6
97,0
98,3
99,6
100,2
101,6
102,4
103,4
104,4
105,4
106,6
107,5
108,2
109,3
110,3
111,3
112,6
113,3
114,0
115,3
116,3
117,4
118,4
119,0
120,3
121,3
122,4
123,6
124,6
125,5
126,4
127,5
128,2
129,5
130,3
131,2
132,5
133,5
134,3
135,3
136,5
137,6
138,2
139,4
140,3
141,3
142,2
143,3
144,3
145,4
146,6
147,0
148,0
149,0
150,4
151,3
152,4
153,3
154,6
155,3
156,0
157,4
158,0
159,3
160,5
161,3
162,6
163,3
164,4
165,4
166,6
167,5
168,6
169,3
170,4
171,0
172,2
173,3
174,4
175,6
176,4
177,4
178,0
179,0
180,3
181,6
182,2
183,4
184,2
185,0
186,0
187,4
188,0
189,3
190,0
191,4
192,3
193,4
194,4
195,3
196,0
197,1
198,6
199,0
200,6
201,2
202,0
203,3
204,0
205,5
206,4
207,4
208,3
209,3
210,4
211,3
212,3
213,0
214,2
215,3
216,3
217,3
218,0
219,6
220,4
221,3
222,4
223,4
224,3
225,4
226,3
227,0
228,6
229,3
230,6
231,5
232,4
233,3
234,6
235,0
236,3
237,5
238,4
239,4
240,4
241,6
242,4
243,4
244,5
245,3
246,4
247,3
248,3
249,4
250,4
251,0
252,4
253,2
254,0
255,3
256,3
257,3
258,0
259,4
260,6
261,6
262,4
263,4
264,5
265,4
266,6
267,3
268,6
269,0
270,0
271,0
272,3
273,4
274,0
275,0
276,4
277,4
278,2
279,2
280,3
281,4
282,5
283,5
284,3
285,3
286,3
287,4
288,0
289,4
290,4
291,3
292,0
293,6
294,3
295,6
296,4
297,2
298,6
299,6
300,3
301,6
302,4
303,3
304,3
305,0
306,5
307,4
308,4
309,3
310,4
311,5
312,5
313,2
314,2
315,4
316,0
317,3
318,2
319,3
320,3
321,1
322,5
323,6
324,0
325,6
326,6
327,5
328,0
329,4
330,4
331,0
332,2
333,4
334,0
335,4
336,4
337,6
338,6
339,6
340,6
341,3
342,5
343,6
344,6
345,3
346,0
347,3
348,3
349,0
350,4
351,5
352,3
353,6
354,4
355,6
356,3
357,4
358,2
359,0
360,2
361,5
362,2
363,0
364,3
365,3
366,3
367,4
368,3
369,4
370,5
371,2
372,4
373,5
